<startdataset>
smiles	fit_test	dSm	chemid	train_validate	model_prediction	model_descriptors|intercept,[#6AD2v4x0R0H2+0],[#6],[#8],[#17AD1v1x0R0H0+0],[#6AD3v4x3R2H1+0],[#6AD3v4x0R0H0+0],[#15AD4v5x0R0H0+0],[#6AD1v4x0R0H3+0],[#6aD3v4x3R3H0+0],[#7AD3v3x2R1H0+0],[#6AD3v4x2R1H1+0],[#6AD2v4x0R0H1+0],[#7],[#16AD3v5x0R0H0+0],[#16AD2v2x2R1H0+0],[#6AD2v4x0R0H2+0]-!@[#6AD1v4x0R0H3+0],[#6AD3v4x0R0H1+0]-!@[#6AD2v4x0R0H2+0]-!@[#16AD2v2x0R0H0+0],[#6AD2v4x0R0H2+0]-!@[#6AD2v4x0R0H2+0]-!@[#17AD1v1x0R0H0+0],[#6AD2v4x0R0H2+0]-!@[#7AD2v3x0R0H1+0]-!@[#6AD3v4x0R0H0+0],[#6AD2v4x0R0H2+0]-!@[#6AD2v4x0R0H2+0]-!@[#6AD4v4x2R1H0+0],[#6AD1v4x0R0H3+0]-!@[#6AD3v4x0R0H1+0](-!@[#8AD2v2x0R0H0+0])-!@[#6AD3v4x0R0H0+0],[#6AD3v4x0R0H1+0]-!@[#6AD2v4x0R0H2+0]-!@[#8AD2v2x0R0H0+0],[#6AD3v4x0R0H0+0]-!@[#8AD2v2x0R0H0+0]-!@[#6AD2v4x0R0H2+0],[#6AD3v4x0R0H1+0]-!@[#7AD1v3x0R0H2+0],[#6AD1v4x0R0H3+0]-!@[#6AD4v4x0R0H0+0](-!@[#6AD1v4x0R0H3+0])-!@[#6AD1v4x0R0H3+0],[#6AD2v4x2R1H2+0]-@[#6AD3v4x2R1H1+0](-@[#6AD2v4x2R1H2+0])-!@[#8AD1v2x0R0H1+0],[#6AD2v4x0R0H2+0]-!@[#6AD3v4x2R1H1+0](-@[#6AD2v4x2R1H2+0])-@[#6AD2v4x2R1H2+0],[#6AD3v4x0R0H0+0]-!@[#6AD2v4x0R0H2+0]-!@[#6AD2v4x0R0H2+0],[#6aD3v4x2R1H0+0]-!@[#35AD1v1x0R0H0+0],[#6AD4v4x2R1H0+0]-@[#6AD2v4x2R1H2+0]-@[#6AD2v4x2R1H2+0],[#6AD2v4x0R0H2+0]-!@[#6AD3v4x0R0H0+0](=!@[#8AD1v2x0R0H0+0])-!@[#6AD2v4x0R0H2+0],[#17AD1v1x0R0H0+0]-!@[#6aD3v4x2R1H0+0](:@[#6aD2v4x2R1H1+0]):@[#6aD3v4x2R1H0+0],[#6AD2v4x0R0H1+0]-!@[#6AD3v4x0R0H0+0](=!@[#8AD1v2x0R0H0+0])-!@[#8AD1v2x0R0H1+0],[#6AD4v4x0R0H0+0]-!@[#6aD3v4x2R1H0+0](:@[#6aD3v4x2R1H0+0]):@[#6aD2v4x2R1H1+0],[#6AD4v4x0R0H0+0]-!@[#16AD2v2x0R0H0+0],[#6AD3v4x0R0H1+0]-!@[#6AD3v4x0R0H1+0],[#6AD2v4x0R0H2+0]-!@[#6aD3v4x2R1H0+0],[#6AD1v4x0R0H3+0]-!@[#6AD3v4x0R0H0+0](=!@[#8AD1v2x0R0H0+0])-!@[#8AD2v2x0R0H0+0],[#6AD3v4x0R0H0+0]-!@[#6aD3v4x2R1H0+0](:@[#6aD2v4x2R1H1+0]):@[#6aD3v4x3R2H0+0],[#6AD3v4x2R1H1+0]-@[#6AD3v4x2R1H1+0](-@[#6AD2v4x2R1H2+0])-!@[#6AD3v4x0R0H1+0],[#6AD2v4x0R0H2+0]-!@[#6AD2v4x0R0H2+0]-!@[#8AD1v2x0R0H1+0],[#6AD1v4x0R0H3+0]-!@[#6AD4v4x3R3H0+0](-@[#6AD2v4x2R2H2+0])(-@[#6AD2v4x2R2H2+0])-@[#6AD2v4x2R2H2+0],[#6AD3v4x2R1H1+0]-@[#6AD2v4x2R1H2+0]-@[#6AD3v4x2R1H1+0],[#6aD3v4x3R2H0+0]-@[#6aD3v4x3R2H0+0],[#6AD4v4x0R0H0+0]-!@[#7AD2v3x0R0H1+0],[#6AD2v4x0R0H2+0]-!@[#6AD2v4x0R0H2+0]-!@[#16AD1v2x0R0H1+0],[#6aD3v4x2R1H0+0]:@[#7aD2v3x2R1H0+0]:@[#6aD2v4x2R1H1+0],[#6AD1v4x0R0H3+0]-!@[#7AD3v3x0R0H0+0],[#6AD2v4x0R0H2+0]-!@[#6AD2v4x0R0H2+0]-!@[#6AD1v4x0R0H3+0],[#6AD1v4x0R0H3+0]-!@[#7AD3v3x0R0H0+0](-!@[#7AD3v5x0R0H0+0])-!@[#6AD2v4x0R0H2+0],[#6AD4v4x0R0H0+0]-!@[#16AD4v6x0R0H0+0],[#6AD2v4x0R0H2+0]-!@[#6AD2v4x0R0H0+0]#!@[#6AD1v4x0R0H1+0],[#6AD3v4x0R0H1+0]-!@[#7AD3v5x0R0H0+0](=!@[#8AD1v2x0R0H0+0])=!@[#8AD1v2x0R0H0+0],[#6AD3v4x0R0H0+0]-!@[#8AD2v2x0R0H0+0],[#6AD3v4x3R2H1+0]-@[#6AD3v4x2R1H0+0],[#6AD3v4x3R2H1+0]-@[#6AD2v4x2R2H2+0]-@[#6AD3v4x3R2H1+0],[#6AD3v4x3R2H1+0]-@[#6AD2v4x2R1H1+0]=@[#6AD2v4x2R1H1+0],[#6AD3v4x2R1H1+0]-@[#6AD3v4x3R2H1+0](-@[#6AD2v4x2R2H2+0])-@[#6AD2v4x2R1H2+0],[#6AD2v4x2R1H1+0]=@[#6AD2v4x2R1H1+0],[#6aD3v4x2R1H0+0]-!@[#8AD2v2x0R0H0+0]-!@[#15AD4v5x0R0H0+0],[#6AD3v4x0R0H1+0]-!@[#6aD3v4x2R1H0+0],[#6AD3v4x0R0H1+0]-!@[#8AD2v2x0R0H0+0],[#6AD1v4x0R0H3+0]-!@[#6AD4v4x0R0H0+0](-!@[#6AD3v4x0R0H1+0])(-!@[#6AD1v4x0R0H3+0])-!@[#6AD1v4x0R0H3+0],[#6AD2v4x0R0H2+0]-!@[#6AD2v4x0R0H2+0]-!@[#6AD4v4x0R0H0+0],[#53AD1v1x0R0H0+0]-!@[#6aD3v4x2R1H0+0](:@[#6aD2v4x2R1H1+0]):@[#6aD3v4x2R1H0+0],[#6AD2v4x0R0H2+0]-!@[#6AD2v4x0R0H2+0]-!@[#16AD2v2x0R0H0+0],[#16AD4v6x0R0H0+0]-!@[#6aD3v4x2R1H0+0](:@[#6aD2v4x2R1H1+0]):@[#6aD2v4x2R1H1+0],[#6aD3v4x2R1H0+0]-!@[#16AD4v6x0R0H0+0](=!@[#8AD1v2x0R0H0+0])(=!@[#8AD1v2x0R0H0+0])-!@[#7AD1v3x0R0H2+0],[#6AD2v4x0R0H2+0]-!@[#7AD2v3x0R0H0+0],[#6AD2v4x0R0H2+0]-!@[#8AD2v2x0R0H0+0]-!@[#7AD3v5x0R0H0+0],[#6aD3v4x2R1H0+0]-!@[#9AD1v1x0R0H0+0],[#6AD4v4x0R0H0+0]-!@[#6AD3v4x2R1H1+0](-@[#6AD2v4x2R1H2+0])-@[#6AD2v4x2R1H2+0],[#6aD2v4x2R1H1+0]:@[#16aD2v2x2R1H0+0],[#6AD2v4x2R1H2+0]-@[#6AD2v4x2R1H2+0]-@[#8AD2v2x2R1H0+0],[#6AD2v4x0R0H2+0]-!@[#6AD2v4x0R0H2+0]-!@[#6AD2v4x0R0H2+0]-!@[#6AD2v4x0R0H2+0]-!@[#8AD2v2x0R0H0+0],[#6AD2v4x0R0H2+0]-!@[#6AD2v4x0R0H2+0]-!@[#6AD2v4x0R0H2+0]-!@[#6AD2v4x0R0H2+0]-!@[#6AD3v4x0R0H0+0](=!@[#8AD1v2x0R0H0+0])-!@[#8AD1v2x0R0H1+0],[#6aD3v4x2R1H0+0]1:@[#6aD3v4x2R1H0+0]:@[#6aD2v4x2R1H1+0]:@[#6aD3v4x2R1H0+0]:@[#6aD2v4x2R1H1+0]:@[#6aD2v4x2R1H1+0]:@1,[#6AD1v4x0R0H3+0]-!@[#6AD2v4x0R0H2+0]-!@[#6AD2v4x0R0H2+0]-!@[#6AD2v4x0R0H2+0]-!@[#6AD2v4x0R0H2+0],[#6AD3v4x0R0H1+0]-!@[#6aD3v4x2R1H0+0]:@[#6aD2v4x2R1H1+0]:@[#6aD3v4x2R1H0+0]:@[#6aD2v4x2R1H1+0]:@[#6aD3v4x2R1H0+0]	CSS	leverage	value_similarity
Cc1cc(C)c(c(c1)O)C(=O)C	1	4.081632653	151	train	54.9002179661	1.0,0.0,10.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.62273881656	0.0105543428211	4.9e-05
OC(=O)C12CC3CC(C2)CC(C1)C3	1	4.292254865	153	train	48.5115072723	1.0,0.0,11.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.230820319444	0.0353117936949	0.000412
FC12CC3CC(C2)CC(C1)C3	1	6.768953069	162	train	39.5858589723	1.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.553149053589	0.0312268138767	0.008755
OC12CC3CC(C2)CC(C1)C3	1	6.771397616	163	train	42.3663957278	1.0,0.0,10.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.288321750775	0.0314936120939	0.004464
Cc1ccccc1c1ccccc1C	1	7.778915046	166	train	52.9962659526	1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.556401751792	0.00904200457575	0.000304
C1CC2C(C1)C1CC2CC1	1	8.380681818	168	train	0.092485707266	1.0,0.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.596204035329	0.496412081824	0.507925
CC#CC#CC	1	8.481764207	171	train	42.6264880732	1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.717961739041	0.00425137594688	0.006381
CC(C(C(C)(C)C)C(C)(C)C)(C)C	1	8.515984923	172	train	11.9500427707	1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.362522944255	0.60360388564	0.783841
O=C1CC2CC1CC2	1	9.194467046	176	train	17.8546594845	1.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.534585650181	0.457075475676	0.489071
OC1C2CC3CC1CC(C2)C3	1	10.32719836	181	train	42.3663957278	1.0,0.0,10.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.264718746857	0.0314936120939	0.010487
Cc1scc(n1)C	1	13.01031853	196	train	36.4534578572	1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0	0.619980303177	0.0604792305572	0.061114
