<startdataset>
smiles	HHLT	fit_test	train_validate	chemid	model_prediction	model_descriptors|intercept,[OX2H1+0]-[CX3H0](=[OX1H0+0])-[CX4H2]-[CX4H2]-[cX3H0;$(*-A)]1:[nX2H0+0;!$(*-a);!$(*~A)]:[cX3H0;$(*-a)]:[cX3H0;$(*-a)](:[oX2H0+0;!$(*-a);!$(*~A)]:1)-[cX3H0;$(*-a)]1:[cX3H1]:[cX3H1]:[cX3H1]:[cX3H1]:[cX3H1]:1,[cX3H1]:[cX3H1]:[cX3H0;$(*-A)](:[cX3H1]:[cX3H1])-[CX4H1]-[CX3H0](=[OX1H0+0])-[NX3H1+0]-[CX4H1]1-[CX3H0](=[OX1H0+0])-[NX3H0+0]2-[CX4H1]-1-[SX2H0]-[CX4H2]-[CX3H0]=[CX3H0]-2-[CX3H0](=[OX1H0+0])-[OX2H1+0],[OX1H0+0]=[CX3H0]-[cX3H0;$(*-A)]1:[cX3H1]:[cX3H1]:[cX3H0;$(*-A)](:[cX3H1]:[cX3H1]:1)-[ClX1H0],[OX2H0+0]-[NX3H0+0](=[OX1H0+0])=[OX1H0+0],[NX3H0+0]-[CX4H2]-[CX4H2]-[ClX1H0],[cX3H0;$(*-A)]:[cX3H1]:[cX3H0;$(*-A)](-[ClX1H0]):[cX3H0;$(*-a)]:[cX3H1],[cX3H1]:[cX3H1]:[cX3H0;$(*-A)](-[FX1H0]):[cX3H1]:[cX3H1],[cX3H1]:[cX3H1]:[cX3H0;!$(*-a);!$(*~A)]:[cX3H0;!$(*-a);!$(*~A)](:[cX3H1]):[nX3H1+0],[cX3H0;$(*-A)]-[CX4H1]-[cX3H0;$(*-A)],[CX4H2]-[CX4H2]-[CX4H1]-[CX4H2]-[CX4H2]-[NX3H0+0],[CX4H2]-[CX4H1](-[OX2H0+0])-[nX3H0+0;$(*-A)],[CX4H0]-[CX4H1]-[NX3H0+0]-[CX3H0]=[OX1H0+0],[cX3H1]:[cX3H0;!$(*-a);!$(*~A)]:[nX2H0+0;!$(*-a);!$(*~A)],[CX4H2]-[CX4H2]-[NX3H0+0]-[cX3H0;$(*-A)]:[cX3H1]:[cX3H1],[CX4H2]-[CX4H2]-[CX4H2]-[CX4H2]-[CX3H0]=[OX1H0+0],[cX3H1]:[cX3H0;$(*-A)](:[cX3H1])-[SX4H0](=[OX1H0+0])=[OX1H0+0],[OX2H0+0]-[CX4H1]-[OX2H0+0],[CX4H2]-[cX3H0;$(*-A)]:[cX3H1]:[cX3H0;$(*-A)]:[cX3H0;$(*-A)]:[cX3H1],[CX4H2]-[CX4H1](-[CX4H2])-[NX3H0+0],[NX3H1+0]-[cX3H0;$(*-A)]:[cX3H1]:[cX3H1],[CX4H2]-[CX4H1](-[CX4H3])-[CX4H3],[NX3H0+0]-[CX4H2]-[cX3H0;$(*-A)]:[cX3H1]:[cX3H1],[cX3H0;$(*-A)]-[CX3H0](=[CX3H0])-[cX3H0;$(*-A)]:[cX3H1],[cX3H1]:[cX3H0;$(*-A)]:[cX3H1]:[nX2H0+0;!$(*-a);!$(*~A)],[NX3H1+0]-[CX3H0](=[OX1H0+0])-[cX3H0;$(*-A)]:[cX3H1]:[cX3H0;$(*-A)],[CX4H3]-[CX4H0](-[CX4H3])-[CX4H3],[CX4H2]-[CX4H2]-[NX3H0+0]-[CX4H1]-[cX3H0;$(*-A)]:[cX3H1],[CX4H2]-[CX4H1]-[cX3H0;$(*-A)](:[cX3H1]):[cX3H1]:[cX3H1]:[cX3H1],[CX4H1]-[CX4H1]-[cX3H0;$(*-A)]:[cX3H1]:[cX3H1],[BrX1H0]-[cX3H0;$(*-A)]:[cX3H1],[cX3H0;$(*-A)]-[OX2H0+0]-[cX3H0;$(*-A)]:[cX3H0;$(*-A)]:[cX3H1]:[cX3H0;$(*-A)],[CX4H1]-[CX4H1]-[CX4H2]-[CX4H1]-[CX3H0]=[OX1H0+0],[ClX1H0]-[cX3H0;$(*-A)]:[cX3H0;$(*-A)](-[ClX1H0]):[cX3H1]:[cX3H0;$(*-A)],[cX3H1]:[cX3H1]:[cX3H0;$(*-A)]:[cX3H0;$(*-A)](-[NX3H0+0]):[cX3H1],[cX3H0;$(*-A)]:[cX3H0;$(*-A)](-[CX3H0]=[OX1H0+0]):[cX3H1]:[cX3H1],[CX4H2]-[CX4H2]-[cX3H0;$(*-A)]:[cX3H0;$(*-A)]:[cX3H1]:[cX3H1]:[cX3H1],[cX3H0;$(*-A)]:[cX3H0;$(*-a)]-[cX3H0;$(*-a)]:[cX3H1]:[cX3H0;$(*-A)]:[cX3H0;$(*-A)]:[cX3H1],[cX3H0;$(*-A)]:[cX3H0;$(*-A)]:[cX3H1]:[cX3H0;$(*-a)](:[cX3H1])-[cX3H0;$(*-a)]:[cX3H1],[ClX1H0]-[cX3H0;$(*-A)]:[cX3H0;$(*-A)](-[ClX1H0]):[cX3H0;$(*-A)](-[ClX1H0]):[cX3H1],[cX3H0;$(*-A)]:[cX3H1]:[cX3H0;$(*-a)]-[cX3H0;$(*-a)]:[cX3H1]:[cX3H1]:[cX3H0;$(*-A)]:[cX3H1],[cX3H0;$(*-A)]:[cX3H1]:[cX3H1]:[cX3H1]:[cX3H0;$(*-A)],[CX4H2]-[CX4H2]-[CX3H0](=[OX1H0+0])-[NX3H1+0],[CX4H2]-[OX2H0+0]-[cX3H0;$(*-A)]:[cX3H1]:[cX3H0;$(*-A)],[cX3H1]:[cX3H0;$(*-A)]-[NX3H0+0](=[OX1H0+0])=[OX1H0+0],[CX4H1]-[OX2H0+0]-[CX3H0]=[OX1H0+0],[CX4H2]-[CX4H1]-[CX3H0](=[OX1H0+0])-[NX3H0+0]-[CX4H2],[OX2H1+0]-[CX4H1]-[CX3H1]=[CX3H1],[CX4H2]-[cX3H0;$(*-A)]:[cX3H1]:[cX3H1]:[cX3H0;$(*-A)](:[cX3H1])-[OX2H0+0]-[CX4H2],[CX4H0]-[cX3H0;$(*-A)]1:[cX3H1]:[cX3H1]:[cX3H0;$(*-A)]:[cX3H1]:[cX3H1]:1,[CX4H3]-[cX3H0;$(*-A)]:[cX3H1]:[cX3H0;$(*-A)],[CX4H0]-[cX3H0;$(*-A)]:[cX3H1]:[cX3H0;$(*-A)]:[cX3H0;$(*-A)],[CX4H0]-[CX4H0]-[CX4H1]-[CX4H2],[CX4H1]-[CX4H1]-[CX4H1]-[CX4H0](-[CX4H2])-[CX4H3],[CX4H0]-[CX4H2]-[CX4H2]-[CX4H1](-[CX4H0])-[CX4H1]-[CX4H2],[OX1H0+0]=[CX3H0]-[CX4H0]-[CX3H0](=[OX1H0+0])-[NX3H1+0],[cX3H0;!$(*-a);!$(*~A)],[ax3+0;$(*-a)],[CX4H1],[OX2H1+0],[CX4H0],[cX3H0;$(*-A)],[FX1H0],[ClX1H0]	CSS	leverage	value_similarity
Brc1cc(Br)c(c(c1)Br)Oc1cc(Br)cc(c1)Br	4.17119	1	train	189084648	4.53946644735	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0	0.326731486712	0.377524785102	0.420795
Clc1c(Cl)cc2c(c1Cl)Oc1c(O2)cc(c(c1Cl)Cl)Cl	4.77818	1	train	19408743	5.3444088024	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,6.0	0.440783413219	0.195898804552	0.215805
Brc1cc(Br)c(cc1Oc1c(Br)cc(c(c1Br)Br)Br)Br	3.86678	1	train	207122165	3.44896039272	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0	0.372161715602	0.161804652908	0.361063
Clc1ccc(c(c1)Cl)c1ccc(cc1Cl)Cl	3.4823	1	train	2437798	3.4823459333	1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0	0.400006139125	0.22329531271	0.99992
Clc1cc(Cl)c(cc1c1ccc(c(c1)Cl)Cl)Cl	4.65762	1	train	31508006	3.91158755364	1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0	0.473179285278	0.0581950465696	0.102931
Clc1ccc(cc1)c1c(Cl)cc(cc1Cl)Cl	3.4823	1	train	32598122	2.33443934518	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0	0.591062517836	0.0178028829669	0.012101
Clc1ccc(cc1Cl)c1ccc(c(c1Cl)Cl)Cl	4.32738	1	train	32598144	3.62962999053	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0	0.231482721712	0.0631235611064	0.127194
Clc1c2Oc3c(Oc2c(c(c1Cl)Cl)Cl)c(Cl)c(c(c3Cl)Cl)Cl	4.82023	1	train	3268879	4.56080367862	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,8.0	0.232379250211	0.0859434620907	0.570647
Clc1ccc(cc1)c1cc(Cl)c(cc1Cl)Cl	3.93207	1	train	32690930	3.63731444797	1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0	0.516236981868	0.146715213819	0.519363
Clc1cc(cc(c1Cl)Cl)c1cc(Cl)c(c(c1)Cl)Cl	4.86848	1	train	32774166	6.31114979103	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0	0.253885356589	0.618395095949	0.001613
